,MgO,Al2O3,SiO2,P2O5,NEUP_Sample_#,drying_in_air,Ar_pruge,All_Pre-scan_drying,Unbound_water,Bound_water,loose_bound_water,Tight_bound_water,Concentration(mM),L/S,PC_name
0,0.13,0.36,0.22,0.2,28,0.02124600638977633,0.05353354006854906,0.07364217252396164,0.059389549922400454,0.217106397654768,0.04345576823590267,0.16026901189860326,1000,0124,Al-Axial
1,0.13,0.36,0.22,0.2,65,0.004600638977635844,0.020830658621132283,0.02533546325878592,0.06850886681745172,0.23578195168322028,0.07388468220408435,0.15091618317107547,0807,0109,Al-Axial
2,0.13,0.36,0.22,0.2,86,-0.006886792452830115,0.03344888972172766,0.02679245283018869,0.04724053250613932,0.1906423678428332,0.04491404937314206,0.12595321183921415,0617,0094,Al-Axial
3,0.09,0.51,0.16,0.14,34,0.03069767441860475,0.05819851933095685,0.08710963455149501,0.03158890748962814,0.24623335031661686,0.04709221922992941,0.1830191425867967,0833,0143,Al-Corner
4,0.09,0.51,0.16,0.14,77,-0.01009146341463424,0.04753855905345445,0.03792682926829257,0.05707313981493224,0.22166941310685756,0.057453416149068286,0.14862466725820767,0465,0120,Al-Corner
7,0.16,0.21,0.28,0.27,104,0.008793650793650826,0.03862537232168592,0.047079365079365096,0.05966618915947631,0.19755471899257088,0.08671752673485018,0.10030982443282149,0593,0153,Centroid
8,0.16,0.21,0.28,0.27,105,0.005536332179930801,0.03872651356993736,0.044048442906574385,0.06823035436348493,0.20396713360118732,0.08889854128207911,0.10551272306077399,0655,0157,Centroid
9,0.16,0.21,0.28,0.27,106,0.013254237288135533,0.03407880724174657,0.04688135593220336,0.0901234128818865,0.2213607426112315,0.11686879823594258,0.09552939502791905,0821,0178,Centroid
10,0.16,0.21,0.28,0.27,107,0.04328903654485052,0.033753515991249136,0.07558139534883727,0.09193171608265947,0.2121114106019767,0.0936208445642408,0.1077088948787062,0893,0181,Centroid
12,0.16,0.21,0.28,0.27,109,0.19896341463414624,0.03056253330288501,0.22344512195121943,0.07801028620784414,0.20034549095049278,0.0792273566016254,0.11220603823956658,0714,0172,Centroid
13,0.16,0.21,0.28,0.27,73,-0.009657320872273993,0.06883677877198391,0.0598442367601247,0.14745352728718644,0.16243082938467138,0.06613870572252224,0.08734550515258953,1000,0171,Centroid
14,0.27,0.18,0.23,0.22,30,0.007830188679245356,0.028081518810814214,0.03569182389937112,0.07640632643078428,0.2537094407304744,0.1007989564650252,0.13275721506603624,0714,0161,Mg-Axial
17,0.27,0.18,0.23,0.22,58,-0.0007770270270270164,0.023225196637747775,0.022466216216216306,0.03518230516675297,0.2480387074477278,0.09438396405737003,0.12790737860722312,0255,0149,Mg-Axial
18,0.27,0.18,0.23,0.22,88,0.33907348242811497,0.039928457485377315,0.3654632587859425,0.06580736116006254,0.21912290418407926,0.06761995871305573,0.12547203061275863,0362,0149,Mg-Axial
19,0.39,0.14,0.19,0.15,32,-0.0050000000000000305,0.05890013022137643,0.05419463087248329,0.08369700195139253,0.22621962036544266,0.05556146886641827,0.14096150434628357,0714,0162,Mg-Corner
20,0.39,0.14,0.19,0.15,55,0.003203883495145638,0.03555079380539589,0.0386407766990291,0.04103548104759985,0.2282703830875917,0.06052649296438424,0.13886083619470815,0251,0113,Mg-Corner
21,0.39,0.14,0.19,0.15,80,-0.002870370370370479,0.03265318684024262,0.029876543209876545,0.05392593535250701,0.24624586408755406,0.07193306184779841,0.14526597098498342,0455,0127,Mg-Corner
22,0.12,0.16,0.21,0.47,24,0.4745222929936305,0.10581818181818184,0.5301273885350319,0.05693371289141927,0.17242781618544128,0.05422258370611353,0.10444625186390134,0833,0143,P-Axial
23,0.12,0.16,0.21,0.47,90,0.01752650176678453,0.04294346137246436,0.05971731448763255,0.05494175122134535,0.13100338218714772,0.07692596768132283,0.051183765501691035,0455,0124,P-Axial
24,0.09,0.11,0.14,0.62,36,0.012307692307692259,0.03132195584450768,0.04324414715719061,0.04449959800048938,0.10438004684168213,0.035620652287901504,0.05809766840283856,1000,0124,P-Corner
25,0.09,0.11,0.14,0.62,82,0.0029780564263322527,0.02295236598019181,0.02586206896551722,0.03581657280772323,0.1349316170555109,0.07517296862429601,0.048141592920354054,0500,0117,P-Corner
26,0.09,0.11,0.14,0.62,49,0.004249201277955243,0.02579651554528835,0.029936102236421763,0.0351414550604354,0.12343971280835231,0.05124658301221885,0.0336264532490201,0209,0106,P-Corner
28,0.13,0.17,0.41,0.21,38,0.0004983388704319125,0.06441748379591167,0.06488372093023265,0.08061249866770875,0.14957189043237293,0.054002202721426786,0.08857071801612969,0714,0162,Si-Axial
29,0.13,0.17,0.41,0.21,99,0.011192052980132483,0.020561248409349583,0.03152317880794696,0.03723331509846835,0.17221690371991244,0.07412472647702405,0.09108315098468264,0385,0146,Si-Axial
30,0.1,0.12,0.58,0.14,100,-0.0006907894736842367,0.026199007264718473,0.025526315789473678,0.04860923575479333,0.1351606805293006,0.0618417499324872,0.07061841749932483,0455,0126,Si-Corner
31,0.1,0.12,0.58,0.14,40,0.02098305084745762,0.056853987050309876,0.07664406779661015,0.06876170197143805,0.15143727743309227,0.054811116413965216,0.08876977862623454,0833,0143,Si-Corner
32,0.1,0.12,0.58,0.14,53,0.0076785714285714235,0.02145042289004859,0.028964285714285713,0.02508367354444807,0.14182206039207038,0.06767442715804185,0.06910883077715257,0242,0108,Si-Corner
