,Intial_mass_external,Initial_mass_TGA,30C,40C,105C,180C,550C,"1,000C"
0,31.3,30.635,28.995,28.995,27.273,26.013,21.366,20.978
1,31.3,31.156,30.507,30.507,28.417,26.163,21.559,21.224
2,31.8,32.019,30.948,30.948,29.486,28.096,24.198,23.586
3,30.1,29.176,27.478,27.478,26.61,25.316,20.287,19.844
4,32.8,33.131,31.556,31.556,29.755,27.942,23.252,22.76
5,29.7,29.993,28.947,28.947,26.53,23.549,20.589,20.358
6,32.8,32.829,31.716,31.716,29.23,25.819,22.526,22.249
7,31.5,31.223,30.017,30.017,28.226,25.623,22.612,22.296
8,28.9,28.74,27.627,27.627,25.742,23.286,20.371,20.107
9,29.5,29.109,28.117,28.117,25.583,22.297,19.611,19.359
10,30.1,28.797,27.825,27.825,25.267,22.662,19.665,19.365
11,30.8,27.709,26.785,26.785,24.271,21.412,18.786,18.617
12,32.8,26.274,25.471,25.471,23.484,21.466,18.608,18.381
13,32.1,32.41,30.179,30.179,25.729,23.733,21.097,20.827
14,31.8,31.551,30.665,30.665,28.322,25.231,21.16,20.542
15,31.6,30.392,28.713,28.713,26.554,24.688,20.781,20.069
16,30.5,30.536,28.794,28.794,27.189,25.268,21.255,20.52
17,29.6,29.623,28.935,28.935,27.917,25.186,21.485,20.74
18,31.3,20.687,19.861,19.861,18.554,17.211,14.719,14.202
19,29.8,29.949,28.185,28.185,25.826,24.26,20.287,19.45
20,30.9,30.801,29.706,29.706,28.487,26.689,22.564,21.706
21,32.4,32.493,31.432,31.432,29.737,27.476,22.91,21.997
22,31.4,16.5,14.754,14.754,13.914,13.114,11.573,11.37
23,28.3,27.804,26.61,26.61,25.148,23.101,21.739,21.662
24,29.9,29.532,28.607,28.607,27.334,26.315,24.653,24.348
25,31.9,31.805,31.075,31.075,29.962,27.626,26.13,25.769
26,31.3,31.167,30.363,30.363,29.296,27.74,26.719,25.548
27,29.8,29.622,28.987,28.987,27.926,26.412,25.25,24.233
28,30.1,30.085,28.147,28.147,25.878,24.358,21.865,21.668
29,30.2,29.862,29.248,29.248,28.159,25.991,23.327,23.122
30,30.4,30.421,29.624,29.624,28.184,26.352,24.26,24.18
31,29.5,28.881,27.239,27.239,25.366,23.873,21.455,21.241
32,28.0,27.785,27.189,27.189,26.507,24.667,22.788,22.651
